lsoa_code_2021,lsoa_name,local_authority_code,local_authority_name,burglary_rate_per_1000,share_age_15_24,share_age_25_34,share_age_65_plus,share_owned_mortgage_or_shared,share_social_rented,share_private_rented,share_purpose_built_flat,share_converted_or_shared_household,share_unemployed_16plus,share_no_qualifications,share_level4_plus,share_higher_managerial_professional,imd_income_score_2019,imd_employment_score_2019,imd_education_score_2019,imd_health_score_2019,imd_barriers_score_2019,imd_living_environment_score_2019
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,2.9379760609358,0.1338411316648531,0.16594124047878128,0.08433079434167573,0.2918918918918919,0.04504504504504504,0.4666666666666667,0.2184115523465704,0.048736462093862815,0.04064470918009811,0.20643806857942618,0.34919524142757175,0.08280701754385965,0.117,0.059,14.798,-0.359,45.171,26.888
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,5.346127484578478,0.1185743660041124,0.23337902673063743,0.02570253598355038,0.23973176865046103,0.3788767812238055,0.34786253143336127,0.7927241962774958,0.012690355329949238,0.07142857142857142,0.1681333950903196,0.48494673459935156,0.11336405529953918,0.207,0.107,11.385,-0.027,50.42,25.995
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,6.800445930880713,0.16555183946488294,0.13879598662207357,0.03567447045707915,0.10545454545454545,0.5636363636363636,0.27090909090909093,0.9016393442622951,0.018214936247723135,0.05154639175257732,0.20876494023904382,0.3195219123505976,0.05003971405877681,0.265,0.151,25.506,0.25,45.413000000000004,30.233000000000004
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,7.6751946607341495,0.11457174638487208,0.17853170189099,0.09121245828698554,0.1558872305140962,0.19402985074626866,0.46102819237147596,0.4129353233830846,0.05140961857379768,0.05828002842928216,0.24946846208362863,0.3359319631467045,0.08877840909090909,0.187,0.109,15.713,0.454,48.119,28.601
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,2.7074749852854616,0.14125956444967627,0.1718658034137728,0.07769276044732196,0.2033898305084746,0.05296610169491525,0.5296610169491526,0.06652360515021459,0.15450643776824036,0.05132075471698113,0.2541729893778452,0.3216995447647951,0.05694760820045558,0.16700000000000004,0.081,22.519,-0.137,52.948,39.857
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,3.588210166595472,0.12217001281503631,0.1644596326356258,0.04100811618966254,0.19743589743589743,0.2846153846153846,0.4256410256410256,0.7097186700767263,0.014066496163682864,0.07315521628498728,0.1963151207115629,0.39135959339263027,0.056962025316455694,0.239,0.096,19.774,-0.056,56.507,36.881
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,8.41768779968034,0.12733084709643047,0.1529035695258391,0.09057005860415557,0.27447833065810595,0.30497592295345105,0.27768860353130015,0.038523274478330656,0.024077046548956663,0.05453257790368272,0.2544674767691208,0.27662616154395997,0.050390347764371894,0.213,0.145,24.003,0.67,45.252,30.423999999999996
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,5.848623853211008,0.12041284403669725,0.15424311926605505,0.09231651376146789,0.2812006319115324,0.33965244865718797,0.1990521327014218,0.09779179810725552,0.04100946372239748,0.044866920152091254,0.25816249050873197,0.2900531511009871,0.05219364599092285,0.20099999999999998,0.135,31.501,0.35,46.135,25.122
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,4.288659793814433,0.13072164948453607,0.15463917525773196,0.0688659793814433,0.30870083432657924,0.31227651966626935,0.265792610250298,0.2898203592814371,0.02155688622754491,0.052995391705069124,0.22606689734717417,0.3206459054209919,0.06278801843317973,0.216,0.12299999999999998,26.013,0.025,50.4,25.696
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,4.336043360433604,0.13658536585365855,0.15230352303523034,0.08726287262872628,0.328,0.3232,0.1728,0.027070063694267517,0.027070063694267517,0.040172166427546625,0.22317596566523606,0.31187410586552217,0.055,0.199,0.122,28.996,0.373,43.772,24.95
